name,country,description,category
Paris,France,"Romantic city known for art, museums, cafes, and the Eiffel Tower.",Culture
Bali,Indonesia,"Tropical island with beaches, temples, rice terraces, and relaxing resorts.",Beach
Tokyo,Japan,"Modern city with nightlife, technology, anime culture, and amazing food.",City
Swiss Alps,Switzerland,"Snowy mountains perfect for skiing, hiking, and breathtaking views.",Adventure
New York,USA,"Busy city with skyscrapers, nightlife, shopping, and cultural diversity.",City
Santorini,Greece,"Beautiful island with white houses, sunsets, and romantic ocean views.",Romantic
Yellowstone,USA,"National park with geysers, wildlife, forests, and natural beauty.",Nature
Dubai,UAE,"Luxury city with skyscrapers, desert safaris, shopping malls, and beaches.",Luxury
Rome,Italy,"Historic city with ancient ruins, art, architecture, and rich culture.",Culture
Maldives,Maldives,"Clear blue water, overwater villas, and peaceful beach relaxation.",Beach
Iceland,Iceland,"Volcanoes, glaciers, northern lights, and dramatic landscapes.",Nature
Bangkok,Thailand,"Vibrant city with street food, temples, nightlife, and markets.",City
Machu Picchu,Peru,"Ancient ruins in the mountains, hiking trails, and historical adventure.",Adventure
Sydney,Australia,"Coastal city with beaches, opera house, and outdoor lifestyle.",City
Cape Town,South Africa,"Mountains, beaches, wildlife, and scenic landscapes.",Nature